name,Price Per Unit,Price Per Measure,Promotion
Irwin's Together Fruit Loaf ,Irwin's Together Fruit Loaf 400g,£1.79,44.8p per 100g,
Irwin's Together Mini Soda Breads,Irwin's Together Mini Soda Breads4 per pack,£1.39,34.8p each,
Irwin's Together Potato Breads,Irwin's Together Potato Breads4 per pack,£1.49,37.3p each,
Jason's Grains And Seeds Ciabattin Sourdough,Jason's Grains And Seeds Ciabattin Sourdough580g,£1.70,29.3p per 100g,"Offer price £1.70, was £2"
Jason's Sourdough The Great White Straight Up Sourdough,Jason's Sourdough The Great Whi…450g,£1.50,33.3p per 100g,"Offer price £1.50, was £1.80"
Jason's White Ciabattin Sourdough,Jason's White Ciabattin Sourdough580g,£1.70,29.3p per 100g,"Offer price £1.70, was £2"
Jurassic World T-Rex Celebration Cake Serves 16,Jurassic World T-Rex Cele…,£12,,
Kingsmill No Crusts Wholemeal Bread,Kingsmill No Crusts Wholemeal Bread400g,£1.79,44.8p per 100g,
La Boulangere Plain Stonebaked Baguette ,La Boulangere Plain Stonebaked Baguette 250g,£1.99,79.6p per 100g,
Lee's Jam Teacakes,Lee's Jam Teacakes12 per pack,£1.09,9.1p each,
Lewis & Green Lemon Layer Cake,Lewis & Green Lemon Layer Cake,£1.49,,
Lewis & Green Ripple Layer Cake,Lewis & Green Ripple Layer Cake,£1.49,,
Lewis Green Choc Chip Muffins,Lewis Green Choc Chip Muffins12 per pack,£1.49,12.4p each,
M&Ms 4 Loaded Brownies,M&Ms 4 Loaded Brownies,£2.99,,
Malteser Rocky Road,Malteser Rocky Road4 per pack,£2.99,74.8p each,
Maltesers Cake Bars,Maltesers Cake Bars5 per pack,£2,40p each,Buy 2 for £2.50
Maltesers Chocolate Celebration Cake Serves 8,Maltesers Chocolate Celebration Cake Serves 8,£3.99,,
Market Street Caramel Crispy Bites ,Market Street Caramel Crispy Bites 18 per pack,£2.49,13.8p each,Buy 2 for £3.50
Market Street Caramel Shortcake ,Market Street Caramel Shortcake 22 per pack,£2.49,11.3p each,Buy 2 for £3.50
Market Street Chocolate Cupcakes ,Market Street Chocolate Cupcakes 2 per pack,£1.79,89.5p each,"Offer price £1.79, was £1.99"
Market Street Chocolate Topped Flapjacks ,Market Street Chocolate Topped Flapjacks 16 per pack,£2.49,15.6p each,Buy 2 for £3.50
Market Street Cornflake Clusters ,Market Street Cornflake Clusters 20 per pack,£2.49,12.5p each,Buy 2 for £3.50
Market Street Double Chocolate Brownie Bites,Market Street Double Chocolate Brownie Bites22 per pack,£2.49,11.3p each,Buy 2 for £3.50
