name,Price Per Unit,Price Per Measure,Promotion
Angel Delight Butterscotch Pot ,Angel Delight Butterscotch Pot 4 x 70g,£2.99,£1.07 per 100g,
Angel Delight Chocolate & Salted Caramel Pot,Angel Delight Chocolate & Salted Caramel Pot100g,75p,75p per 100g,"Offer price 75p, was £1"
Angel Delight Strawberry Pot ,Angel Delight Strawberry Pot 4 x 65g,£2.99,£1.15 per 100g,
Apetina Paneer Cheese,Apetina Paneer Cheese225g,£1.99,£8.84 per kg,
Applewood Cheese Slices,Applewood Cheese Slices160g,£2.40,£15.00 per kg,
Applewood Smoked Cheddar    ,Applewood Smoked Cheddar    5 x 15g,£1.49,£19.87 per kg,
Applewood Smoke Flavoured Cheddar,Applewood Smoke Flavoured Cheddar200g,£2.25,£11.25 per kg,
Arctic Cafe Latte,Arctic Cafe Latte330ml,£1,£3.03 per litre,"Offer price £1, was £1.15"
Arctic Coffee Caramel Latte,Arctic Coffee Caramel Latte330ml,£1,£3.03 per litre,"Offer price £1, was £1.15"
Arctic Coffee Intenso,Arctic Coffee Intenso1L,£2.19,21.9p per 100ml,
Arctic Coffee Skinny Latte,Arctic Coffee Skinny Latte330ml,£1,£3.03 per litre,"Offer price £1, was £1.15"
Arctic Coffee White Chocolate,Arctic Coffee White Chocolate330ml,£1,£3.03 per litre,"Offer price £1, was £1.15"
Arla Best of Both Milk,Arla Best of Both Milk2L,£2.69,£1.35 per litre,Buy 2 for £4
Arla Big Whole Milk,Arla Big Whole Milk2L,£2.69,£1.35 per litre,Buy 2 for £4
Arla B.O.B Semi Skimmed Milk,Arla B.O.B Semi Skimmed Milk2L,£2,£1.00 per litre,
Arla Lactofree Blueberry Yogurt,Arla Lactofree Blueberry Yogurt150g,£1.15,76.7p per 100g,
Arla Lactofree Mango Yogurt,Arla Lactofree Mango Yogurt150g,£1.15,76.7p per 100g,
Arla Lactofree Vanilla Yogurt,Arla Lactofree Vanilla Yogurt150g,£1.15,76.7p per 100g,
Arla Protein Blueberry Yogurt ,Arla Protein Blueberry Yogurt 200g,£1.45,72.5p per 100g,Buy 4 for £3
Arla Protein Chocolate Pudding,Arla Protein Chocolate Pudding200g,£1,50p per 100g,"Offer price £1, was £1.75"
Arla Protein Salted Caramel Pudding,Arla Protein Salted Caramel Pudding200g,£1,50p per 100g,"Offer price £1, was £1.75"
Arla Protein Strawberry Yogurt,Arla Protein Strawberry Yogurt200g,£1.45,72.5p per 100g,Buy 4 for £3
Arla Protein Yogurt Mango,Arla Protein Yogurt Mango200g,£1.45,72.5p per 100g,
Arla Protein Yogurt Strawberry,Arla Protein Yogurt Strawberry200g,£1.45,72.5p per 100g,
Arla Skyr Creamy 5% Fat Natural Yogurt ,Arla Skyr Creamy 5% Fat Natural Yogurt 450g,£1.99,44.2p per 100g,Buy 2 for £2.50
Arla skyr Fat Free Natural Yogurt,Arla skyr Fat Free Natural Yogurt450g,£2.09,46.4p per 100g,Buy 2 for £2.50
Arla skyr Fat Free Strawberry Yogurt,Arla skyr Fat Free Strawberry Yogurt450g,£2.09,46.4p per 100g,Buy 2 for £2.50
Arla Skyr Icelandic Style Yogurt Mixed With Vanilla,Arla Skyr Icelandic Style Yogurt Mixed With Vanilla450g,£2.09,46.4p per 100g,Buy 2 for £2.50
Attack A Snak Chicken And Cheese BBQ Wrap Kit,Attack A Snak Chicken And Cheese BBQ Wrap Kit86g,£1.49,£1.73 per 100g,
Attack A Snak Chicken And Cheese Wrap Kit,Attack A Snak Chicken And Cheese Wrap Kit86g,£1.49,£1.73 per 100g,
Attack A Snak Ham And Cheese Wrap Kit,Attack A Snak Ham And Cheese Wrap Kit86g,£1.49,£1.73 per 100g,
Attack A Snak Pepperoni And Cheese Wrap Kit,Attack A Snak Pepperoni And Cheese Wrap Kit83g,£1.49,£1.80 per 100g,
Avalade Rose Lemonade,Avalade Rose Lemonade250ml,£1,40p per 100ml,
Avalade Sparkling Apple Juice,Avalade Sparkling Apple Juice250ml,£1,40p per 100ml,
Belton Farm Red Leicester ,Belton Farm Red Leicester 200g,£2.99,£1.50 per 100g,
Benecol Blueberry Smooth Yogurt Drinks,Benecol Blueberry Smooth Yogurt Drinks6 x 67.5g,£3.70,91.4p per 100g,"Offer price £3.70, was £4.29"
Benecol Original No Added Sugar Yogurt Drink,Benecol Original No Added Sugar Yogurt Drink6 x 67.5g,£3.70,91.4p per 100g,"Offer price £3.70, was £4.29"
Benecol Peach & Apricot No Added Sugar Yogurt Drink,Benecol Peach & Apricot No Ad…6 x 67.5g,£3.70,91.4p per 100g,"Offer price £3.70, was £4.29"
Benecol Raspberry & Peach Yogurts ,Benecol Raspberry & Peach Yogurts 4 x 120g,£3,62.5p per 100g,Buy 2 for £4.50
Benecol Raspberry No Added Sugar Yogurt Drink ,Benecol Raspberry No Added Sugar Yogurt Drink 6 x 67.5g,£3.70,91.4p per 100g,"Offer price £3.70, was £4.29"
Benecol Strawberry Yogurt Drink,Benecol Strawberry Yogurt Drink6 x 67.5g,£3.70,91.4p per 100g,"Offer price £3.70, was £4.29"
Bernard Matthews Chicken Breast Chunks,Bernard Matthews Chicken Breast Chunks80g,£1.19,£1.49 per 100g,
Bernard Matthews Chicken Breast Slices,Bernard Matthews Chicken Breast Slices80g,£1.50,£1.88 per 100g,
Bernard Matthews Farms Turkey Breast Roast,Bernard Matthews Farms Turkey Breast Roast450g,£2.75,£6.11 per kg,
Bernard Matthews Turkey Breast Chunks,Bernard Matthews Turkey Breast Chunks80g,£1.19,£1.49 per 100g,
Bernard Matthews Turkey Breast Slices,Bernard Matthews Turkey Breast Slices80g,£1.50,£1.88 per 100g,
Bernard Matthews Wafer Thin Turkey Ham,Bernard Matthews Wafer Thin Turkey Ham100g,£1.50,£1.50 per 100g,
Bertolli Olive Oil Light Spread,Bertolli Olive Oil Light Spread450g,£2.50,£5.55 per kg,"Offer price £2.50, was £2.85"
 Bertolli Olive Oil Spread, Bertolli Olive Oil Spread450g,£2.50,£5.55 per kg,"Offer price £2.50, was £2.85"
Bertolli Spread,Bertolli Spread250g,£1.50,60p per 100g,
Big n Free Large Free Range Eggs 10 pack,Big n Free Large Free Range Eggs 10 pack10 per pack,£2.79,27.9p each,
Billy Bear Pork Sausage Cured and Cooked Slices,Billy Bear Pork Sausage Cured and Cooked Slices100g,£1.29,£1.29 per 100g,
Billy Bear Slices,Billy Bear Slices90g,£1.29,£1.43 per 100g,
Biotiful Kefir Cultured Dairy Drink Vanilla ,Biotiful Kefir Cultured Dairy Drink Vanilla 500ml,£2.59,51.8p per 100ml,
Biotiful Kefir Mango,Biotiful Kefir Mango500ml,£2.59,51.8p per 100ml,
Biotiful Kefir Original,Biotiful Kefir Original500ml,£2.59,51.8p per 100ml,
Biotiful Kefir Original,Biotiful Kefir Original1L,£2.75,27.5p per 100ml,
Biotiful Kefir Strawberry,Biotiful Kefir Strawberry500ml,£2.59,51.8p per 100ml,
Biotiful Kefir Strawberry,Biotiful Kefir Strawberry1L,£3.50,£3.50 per litre,
Biotiful Kefir Yogurt Original,Biotiful Kefir Yogurt Original350g,£1.25,35.7p per 100g,
Biotiful Kefir Yogurt Rubie Raspberry,Biotiful Kefir Yogurt Rubie Raspberry350g,£1.25,35.7p per 100g,
Bol One Pot Meal Creamy Coconut Turmeric Daal ,Bol One Pot Meal Creamy Coconut Turmeric Daal 450g,£3.25,£7.22 per kg,Buy 2 for £5
Bol One Pot Meal Spanish Smoky Butter Bean Stew,Bol One Pot Meal Spanish Smoky Butter Bean Stew450g,£3.25,72.2p per 100g,Buy 2 for £5
