name,Price Per Unit,Price Per Measure,Promotion
Eat Real Hummus Chips Tomato & Basil Flavour,Eat Real Hummus Chips Tomato & Basil Flavour135g,£2,£1.48 per 100g,
Eat Real Lentil Chips Sea Salt Flavour,Eat Real Lentil Chips Sea Salt Flavour113g,£2,£1.77 per 100g,
Eat Real Quinoa Chips Sour Cream & Chives Flavour ,Eat Real Quinoa Chips Sour…80g,£2,£2.50 per 100g,
"Eat Real Veggie Straws Kale, Tomato & Spinach ","Eat Real Veggie Straws Kale, Tomato & Spinach 113g",£2,£1.77 per 100g,
Flora 100% Natural Dairy Free Spread,Flora 100% Natural Dairy Free Spread1kg,£3.50,£3.50 per kg,
Flora Buttery Spread,Flora Buttery Spread2kg,£5.50,£2.75 per kg,
Flora Lighter Vegan Spread,Flora Lighter Vegan Spread1kg,£3.50,£3.50 per kg,
Flora Plant B+tter Salted Vegan Alternative to Butter,Flora Plant B+tter Salted Veg…250g,£1,£4.00 per kg,"Offer price £1, was £1.99"
Flora Plant Butter Spreadable Vegan Butter Alternative,Flora Plant Butter Spreadable V…450g,£2,44.5p per 100g,"Offer price £2, was £3.49"
Flora ProActiv Light Spread,Flora ProActiv Light Spread250g,£1.99,£7.96 per kg,
Food Heaven Free-From Heavenly Whipped,Food Heaven Free-From Heavenly Whipped200ml,£2,£1.00 per 100ml,
Free Damm 0% Lager,Free Damm 0% Lager4 x 330ml,£3.50,26.5p per 100ml,"Offer price £3.50, was £4"
Freee By Doves Farm Free From Gluten Baking Powder,Freee By Doves Farm Free Fr…130g,£1.49,£1.15 per 100g,
Freee Gluten Free Choc Chip Cookie Mix,Freee Gluten Free Choc Chip Cookie Mix350g,£3,85.7p per 100g,
Genius Gluten Brioche Burger Buns,Genius Gluten Brioche Burger Buns2 per pack,£1.85,92.5p each,
Genius Gluten Free Chocolate Cupcake ,Genius Gluten Free Chocolate Cupcake 2 per pack,£2.39,£1.20 each,Buy 2 for £3.20
Genius Gluten Free Crumpets ,Genius Gluten Free Crumpets 220g,£2.25,£1.02 per 100g,Buy 2 for £3.20
Genius Gluten Free Denby Dale Gluten Free Chicken Pie,Genius Gluten Free Denby Dale…320g,£3.79,£11.84 per kg,Buy 2 for £6.30
