name,Price Per Unit,Price Per Measure,Promotion
Bottlegreen Sparkling Light Elderflower Presse,Bottlegreen Sparkling Light Elderflower Presse750ml,£3,40p per 100ml,Buy 2 for £4.50
Brecon Carreg Still Natural Mineral Water,Brecon Carreg Still Natural Mineral Water6 x 1.5L,£3,3.3p per 100ml,
Brecon Carreg Still Natural Mineral Water,Brecon Carreg Still Natural Mineral Water12 x 500ml,£3.20,5.3p per 100ml,
Bundaberg Ginger Beer,Bundaberg Ginger Beer4 x 375ml,£3.99,26.6p per 100ml,"Offer price £3.99, was £4.75"
Buxton Still Natural Mineral Water,Buxton Still Natural Mineral Water8 x 500ml,£2,5p per 100ml,"Offer price £2, was £2.50"
Buxton Still Water ,Buxton Still Water 500ml,58p,11.6p per 100ml,
Buxton Still Water Sports Cap,Buxton Still Water Sports Cap1L,95p,95p per litre,Food To Go Meal Deal for £3.50
Califia Farms Cold Brew Caramel Oat Coffee,Califia Farms Cold Brew Caramel Oat Coffee,£2.95,,
Califia Farms Mocha Cold Brew Coffee With Almond,Califia Farms Mocha Cold Brew Coffee With Almond250ml,£1.50,60p per 100ml,"Offer price £1.50, was £1.99"
Califia Farms Mocha Cold Brew Coffee With Almond,Califia Farms Mocha Cold Brew Coffee With Almond750ml,£2.95,39.3p per 100ml,
Califia Farms XX Espresso Cold Brew Coffee With Almond,Califia Farms XX Espresso Cold…250ml,£1.50,60p per 100ml,"Offer price £1.50, was £1.99"
Capri-Sun Blackcurrant ,Capri-Sun Blackcurrant 8 x 200ml,£3,18.8p per 100ml,
Capri-Sun Blackcurrant ,Capri-Sun Blackcurrant 4 x 200ml,£1.50,18.8p per 100ml,Buy 2 for £2.50
Capri-Sun No Added Sugar Multivitamin Apple and Blackcurrant Squash ,Capri-Sun No Added Sugar Multivitamin A…1L,£2.25,£2.25 per litre,
Capri-Sun No Added Sugar Multivitamin Orange Squash ,Capri-Sun No Added Sugar Mult…1L,£2.25,£2.25 per litre,
Capri-Sun Nothing Artificial No Added Sugar Multivitamin ,Capri-Sun Nothing Artificial No A…8 x 200ml,£2.50,15.6p per 100ml,
Capri-Sun Nothing Artificial No Added Sugar Orange ,Capri-Sun Nothing Artificial…8 x 200ml,£3,18.8p per 100ml,
Capri-Sun Orange ,Capri-Sun Orange 8 x 200ml,£3,18.8p per 100ml,
Capri-Sun Orange ,Capri-Sun Orange 4 x 200ml,£1.50,18.8p per 100ml,Buy 2 for £2.50
Capri-Sun Tropical ,Capri-Sun Tropical 8 x 200ml,£3,18.8p per 100ml,
Carabao Energy Drink Green Apple,Carabao Energy Drink Green Apple330ml,70p,21.2p per 100ml,Buy 3 for £1.85
Carabao Energy Drink Green Apple,Carabao Energy Drink Green Apple500ml,75p,15p per 100ml,"Offer price 75p, was £1.09"
Carabao Energy Drink Mango Burst,Carabao Energy Drink Mango Burst330ml,70p,21.2p per 100ml,Buy 3 for £1.85
Carabao Energy Drink Mixed Berry ,Carabao Energy Drink Mixed Berry 330ml,70p,21.2p per 100ml,Buy 3 for £1.85
Carabao Energy Drink Mixed Berry,Carabao Energy Drink Mixed Berry500ml,75p,15p per 100ml,"Offer price 75p, was £1.09"
Carabao Energy Drink Orange Blast,Carabao Energy Drink Orange Blast330ml,70p,21.2p per 100ml,Buy 3 for £1.85
Carabao Energy Drink Original,Carabao Energy Drink Original330ml,70p,21.2p per 100ml,Buy 3 for £1.85
Carabao Energy Drink Sugar Free Green Apple,Carabao Energy Drink Sugar Free Green Apple330ml,70p,21.2p per 100ml,Buy 3 for £1.85
