name,Price Per Unit,Price Per Measure,Promotion
Morrisons Just For Kids Mini Raisins ,Morrisons Just For Kids Mini Raisins 10 x 14g,99p,70.7p per 100g,Buy 2 for £1.50
Morrisons Katsu Style Stir Fry Sauce,Morrisons Katsu Style Stir Fry Sauce170g,£1.09,64.1p per 100g,Buy 3 for £2.50
Morrisons Kiwi,Morrisons Kiwi6 per pack,99p,16.5p each,
"Morrisons Kiwi, Melon & Strawberry","Morrisons Kiwi, Melon & Strawberry210g",£2.25,£10.71 per kg,
Morrisons Korean Style Sauce,Morrisons Korean Style Sauce170g,£1.09,64.1p per 100g,Buy 3 for £2.50
Morrisons Large Flat Mushrooms ,Morrisons Large Flat Mushrooms 250g,£1.19,£4.76 per kg,
Morrisons Large Mild Brown Onions ,Morrisons Large Mild Brown Onions 3 per pack,£1.69,56.3p each,
Morrisons Large Oranges,Morrisons Large Oranges4 per pack,£2.15,53.8p each,
Morrisons Lemongrass ,Morrisons Lemongrass 2 per pack,75p,37.5p each,
Morrisons Limes,Morrisons Limes4 per pack,99p,24.8p each,
Morrisons Little Gem Lettuce ,Morrisons Little Gem Lettuce 2 per pack,85p,42.5p each,"Offer price 85p, was 99p"
Morrisons Little Kitchen Kids Raisins & Strawberries,Morrisons Little Kitchen Kids…6 x 14g,99p,£1.18 per 100g,Buy 2 for £1.50
Morrisons Living Flat Leaf Parsley,Morrisons Living Flat Leaf Parsley,£1.49,,
Morrisons Living Mint,Morrisons Living Mint,£1.49,,
Morrisons Loose Coconut,Morrisons Loose Coconut,89p,,
Morrisons Loose Green Pepper ,Morrisons Loose Green Pepper ,49p,,
Morrisons Loose Orange Pepper,Morrisons Loose Orange Pepper,49p,,
Morrisons Loose Pomegranate,Morrisons Loose Pomegranate,£1.25,,
Morrisons Loose Red Grapefruit,Morrisons Loose Red Grapefruit,55p,,
Morrisons Loose Red Pepper ,Morrisons Loose Red Pepper ,49p,,
Morrisons Loose Yellow Pepper ,Morrisons Loose Yellow Pepper ,49p,,
Morrisons Mango ,Morrisons Mango 240g,£2.25,93.8p per 100g,
Morrisons Maris Piper Potatoes,Morrisons Maris Piper Potatoes2.5kg,£1.59,63.6p per kg,
Morrisons Market St Living Basil,Morrisons Market St Living Basil,£1.49,,
Morrisons Market St Living Chives,Morrisons Market St Living Chives,£1.49,,
Morrisons Market St Living Coriander,Morrisons Market St Living Coriander,£1.49,,
Morrisons Market St Living Dill,Morrisons Market St Living Dill,£1.49,,
Morrisons Market St Living Thyme,Morrisons Market St Living Thyme,£1.49,,
Morrisons Market Street Large Cucumber,Morrisons Market Street Large Cucumber,99p,,
Morrisons Mashed Potato,Morrisons Mashed Potato400g,99p,24.8p per 100g,
Morrisons Mediterranean Style Vegetables ,Morrisons Mediterranean Style Vegetables 400g,£1.79,£4.48 per kg,Easy Chicken Dinner Meal Deal for £7
Morrisons Medium Cauliflower ,Morrisons Medium Cauliflower ,99p,,
Morrisons Mini Cucumbers,Morrisons Mini Cucumbers200g,99p,£4.95 per kg,
Morrisons Mixed Chillies ,Morrisons Mixed Chillies 50g,69p,£13.80 per kg,
Morrisons Mixed Leaf,Morrisons Mixed Leaf100g,99p,99p per 100g,
Morrisons Mixed Nuts,Morrisons Mixed Nuts180g,£2.25,£12.50 per kg,Buy 2 for £4
