name,Price Per Unit,Price Per Measure,Promotion
Barking Heads Top Dog Turkey Wet Dog Food Pouch,Barking Heads Top Dog Tur…300g,£2.50,83.3p per 100g,
Beaphar Banana Nibbly Bitz For Small Animals,Beaphar Banana Nibbly Bitz For Small Animals50g,£1.70,£34.00 per kg,
Beaphar One Dose Wormer For Medium Dogs,Beaphar One Dose Wormer For Medium Dogs2 per pack,£7,£3.50 each,
Bob Martin Cat Litter Tray,Bob Martin Cat Litter Tray,£4.50,,
Bob Martin Clear 3 In 1 Wormer Tablets For Dogs,Bob Martin Clear 3 In 1 Wormer Tablets For Dogs2 per pack,£8,£4.00 each,
Bob Martin Clear 3 In 1 Wormer Tablets for Dogs 4PK,Bob Martin Clear 3 In 1 Worme…,£13,,"Offer price £13, was £14"
Bob Martin Clear Flea & Tick Dog Collar ,Bob Martin Clear Flea & Tick Dog Collar ,£6,,
Bob Martin Clear Flea & Tickspot On Cat,Bob Martin Clear Flea & Tickspot On Cat,£9,,
Bob Martin Clear Flea Cat Collar,Bob Martin Clear Flea Cat Collar,£4.50,,
Bob Martin Clear Flea Shampoo for Dogs & Puppies ,Bob Martin Clear Flea Shamp…150ml,£2.75,£1.83 per 100ml,
Bob Martin Clear Flea Tablets for Cats - 3 treatments,Bob Martin Clear Flea Tablets…3 per pack,£5,£1.67 each,"Offer price £5, was £6"
Bob Martin Clear Flea Tablets for Large Dogs over 11kg - 3 treatments,Bob Martin Clear Flea Tablets for Large D…,£5.75,,"Offer price £5.75, was £6.50"
Bob Martin Clear Flea Tablets Small Dog,Bob Martin Clear Flea Tablets Small Dog3 per pack,£4.50,£1.50 each,"Offer price £4.50, was £5"
Bob Martin Clear Pc Free Flea Spray,Bob Martin Clear Pc Free Flea Spray300ml,£5,£16.67 per litre,
Bob Martin Clear Plus Spot - On For Cats And Ferrets,Bob Martin Clear Plus Spot…,£10.50,,
Bob Martin Clear Plus Spot - On For Large Dogs,Bob Martin Clear Plus Spot - On For Large Dogs,£11,,
Bob Martin Clear Plus Spot - On For Medium Dogs,Bob Martin Clear Plus Spo…,£10,,
Bob Martin Clear Plus Spot On For Small Dogs,Bob Martin Clear Plus Spot On For Small Dogs,£8,,
Bob Martin Felight Cat Litter,Bob Martin Felight Cat Litter20L,£12,60p per litre,
Bob Martin Home Flea Spray Plus 500ml,Bob Martin Home Flea Spray Plus 500ml500ml,£8.75,£17.50 per litre,
Bob Martin Spot On Cats Dewormer,Bob Martin Spot On Cats Dewormer2 per pack,£5,£2.50 each,"Offer price £5, was £5.75"
Bob Martin Velvet Flea Collar For Cats,Bob Martin Velvet Flea Collar For Cats2 per pack,£7,£3.50 each,
Bonio Biscuits Chicken Flavour Dog Food,Bonio Biscuits Chicken Flavour Dog Food650g,£2.20,£3.38 per kg,
Bonio The Original Biscuits Dog Food,Bonio The Original Biscuits Dog Food650g,£2.20,£3.38 per kg,
Brambles Crunchy Hedgehog Food,Brambles Crunchy Hedgehog Food,£6,£6.67 per kg,
