name,Price Per Unit,Price Per Measure,Promotion
Beyond Meat Plant Burgers,Beyond Meat Plant Burgers226g,£4,£1.77 per 100g,
Birds Eye 10 Chicken Fingers with Golden Wholegrain,Birds Eye 10 Chicken Fingers…250g,£2.79,£11.16 per kg,
Birds Eye 10 Cod Fish Fingers,Birds Eye 10 Cod Fish Fingers280g,£3,£10.71 per kg,"Offer price £3, was £3.99"
Birds Eye 10 Green Cuisine Vegan Veggie Fingers,Birds Eye 10 Green Cuisin…284g,£1.79,£6.30 per kg,
Birds Eye 10 Haddock Fish Fingers,Birds Eye 10 Haddock Fish Fingers280g,£3,£10.72 per kg,"Offer price £3, was £4.39"
Birds Eye 10 Omega 3 Fish Fingers,Birds Eye 10 Omega 3 Fish Fingers280g,£2.99,£10.68 per kg,
Birds Eye 10 Original Beef Burgers with Onion,Birds Eye 10 Original Beef Burgers with Onion567g,£5.85,£10.32 per kg,
Birds Eye 10 Original Potato Waffles,Birds Eye 10 Original Potato Waffles567g,£2.35,£4.14 per kg,
Birds Eye 12 Crispy Chicken Dippers,Birds Eye 12 Crispy Chicken Dippers220g,£2.79,£12.68 per kg,
Birds Eye 18 Potato Waffles,Birds Eye 18 Potato Waffles1.02kg,£3.80,£3.73 per kg,"Buy 3, Get 25% Off"
Birds Eye 20 Fish Fingers Cod,Birds Eye 20 Fish Fingers Cod560g,£6.49,£11.59 per kg,
Birds Eye 20 Fish Fingers Omega 3,Birds Eye 20 Fish Fingers Omega 3560g,£3.50,£6.25 per kg,"Offer price £3.50, was £4.19"
Birds Eye 20 Fish Nuggets,Birds Eye 20 Fish Nuggets490g,£3.79,£7.73 per kg,
Birds Eye 22 Crispy Chicken Dippers,Birds Eye 22 Crispy Chicken Dippers403g,£4.45,£11.04 per kg,
Birds Eye 22 Gluten Free Chicken Nuggets,Birds Eye 22 Gluten Free Chicken Nuggets455g,£3.99,87.7p per 100g,
Birds Eye 22 Green Cuisine Vegan Chicken Free Dippers,Birds Eye 22 Green Cuisine Ve…403g,£3,£7.45 per kg,"Offer price £3, was £4.09"
Birds Eye 24 Chicken Nuggets With Golden Wholegrain,Birds Eye 24 Chicken Nuggets…379g,£3.50,£9.23 per kg,"Offer price £3.50, was £4.45"
Birds Eye 26 Battered Fish Fingers,Birds Eye 26 Battered Fish Fingers728g,£5.25,£7.21 per kg,
Birds Eye 2 Breaded Cod Fish Burgers,Birds Eye 2 Breaded Cod Fish Burgers227g,£2.75,£12.11 per kg,
Birds Eye 2 Cheese & Ham Chicken Kievs ,Birds Eye 2 Cheese & Ham Chicken Kievs 204g,£2.89,£14.17 per kg,
Birds Eye 2 Chicken Quarter Pounders,Birds Eye 2 Chicken Quarter Pounders227g,£2,£8.81 per kg,"Offer price £2, was £2.79"
Birds Eye 2 Cod Tomato and Rosemary Perfectly Baked,Birds Eye 2 Cod Tomato and Ro…260g,£4.79,£18.42 per kg,
Birds Eye 2 Creamy Pasta Steamfresh,Birds Eye 2 Creamy Pasta Steamfresh350g,£2.89,£8.26 per kg,
Birds Eye 2 Crispy Chicken Grills in Tempura Batter,Birds Eye 2 Crispy Chicken Grills in Tempura Batter170g,£2,£11.76 per kg,"Offer price £2, was £2.79"
Birds Eye 2 Fish Chargrills with Tomato & Basil,Birds Eye 2 Fish Chargrills with Tomato & Basil250g,£4.09,£16.36 per kg,
Birds Eye 2 Fish Fillets With Linseeds,Birds Eye 2 Fish Fillets With Linseeds220g,£1.49,£6.77 per kg,
Birds Eye 2 Garlic & Herb Chicken Kievs,Birds Eye 2 Garlic & Herb Chicken Kievs204g,£2.89,£14.17 per kg,
Birds Eye 2 Gluten Free Southern Fried Chicken Grills,Birds Eye 2 Gluten Free South…180g,£2.75,£15.28 per kg,
Birds Eye 2 Golden Rice Steamfresh,Birds Eye 2 Golden Rice Steamfresh380g,£2.89,£7.61 per kg,
Birdseye 2 Green Cuisine Vegan Battered Fishless Fillets,Birdseye 2 Green Cuisine Vegan…240g,£2.50,£10.42 per kg,"Offer price £2.50, was £3"
Birdseye 2 Green Cuisine Vegan Breaded Fishless Fillets,Birdseye 2 Green Cuisine Vegan…216g,£2.50,£1.16 per 100g,"Offer price £2.50, was £3"
Birds Eye 2 Green Cuisine Vegan Burgers,Birds Eye 2 Green Cuisine Vegan Burgers200g,£2.99,£14.95 per kg,
Birds Eye 2 Green Cuisine Vegan Chicken Free Burgers,Birds Eye 2 Green Cuisine Veg…2 per pack,£2.25,£1.13 each,
Birds Eye 2 Green Cuisine Vegan Chicken Free Crispy Grills,Birds Eye 2 Green Cuisine Vegan C…2 per pack,£2.69,£1.35 each,
Birds Eye 2 Green Cuisine Vegan Chicken Free Southern Fried Grills,Birds Eye 2 Green Cuisine Vegan Chicken…2 per pack,£2.69,£1.35 each,
Birds Eye 2 Green Medley Steamfresh,Birds Eye 2 Green Medley Steamfresh300g,£2,£6.66 per kg,"Offer price £2, was £2.89"
Birds Eye 2 Haddock White Wine Perfectly Baked,Birds Eye 2 Haddock White…260g,£4.79,£18.42 per kg,
Birds Eye 2 Hot & Spicy Chicken Grills,Birds Eye 2 Hot & Spicy Chicken Grills180g,£2,£11.11 per kg,"Offer price £2, was £2.79"
Birds Eye 2 Jumbo Battered Fish Fillets,Birds Eye 2 Jumbo Battered Fish Fillets400g,£3.49,87.3p per 100g,
Birds Eye 2 Lightly Dusted Lemon & Pepper Fish Fillets,Birds Eye 2 Lightly Dusted Lemo…280g,£2.50,89.1p per 100g,"Offer price £2.50, was £3.79"
Birds Eye 2 Original Chicken Chargrills ,Birds Eye 2 Original Chicken Chargrills 170g,£2,£11.76 per kg,"Offer price £2, was £2.79"
