name,Price Per Unit,Price Per Measure,Promotion
Chef Tomato Ketchup,Chef Tomato Ketchup340g,£1.25,36.8p per 100g,
China Town Dim Sum Mix ,China Town Dim Sum Mix 180g,£3,£16.67 per kg,
Chinatown Dim Sum Prawn Sui Mai Handmade 12 Pack,Chinatown Dim Sum Prawn Sui…240g,£3.95,£1.65 per 100g,
China Town Dim Sum Royal Prawn Ha Kau ,China Town Dim Sum Royal Prawn Ha Kau 240g,£3.70,£15.42 per kg,
Cidona Apple Drink,Cidona Apple Drink2L,£2,10p per 100ml,
Cofresh Balti Mix,Cofresh Balti Mix200g,75p,37.5p per 100g,
Cofresh Black Pepper Cashews,Cofresh Black Pepper Cashews150g,£2,£1.33 per 100g,
Cofresh Bombay Mix,Cofresh Bombay Mix200g,75p,37.5p per 100g,
Cofresh Chakri Savoury Sticks,Cofresh Chakri Savoury Sticks300g,£1.49,49.7p per 100g,
Cofresh Cheese & Onion Grills,Cofresh Cheese & Onion Grills80g,75p,93.8p per 100g,
Cofresh Chevda Mix,Cofresh Chevda Mix200g,75p,37.5p per 100g,
Cofresh Chilli & Lemon Bombay Mix,Cofresh Chilli & Lemon Bombay Mix200g,75p,37.5p per 100g,
Cofresh Chilli & Lemon Grills,Cofresh Chilli & Lemon Grills100g,£1,£1.00 per 100g,
Cofresh Chilli & Lime Corn Crackers ,Cofresh Chilli & Lime Corn Crackers 60g,75p,£1.25 per 100g,
Cofresh Chilli Cheese Grills,Cofresh Chilli Cheese Grills80g,75p,93.8p per 100g,
Cofresh Green Peas & Peanuts Mix,Cofresh Green Peas & Peanuts Mix200g,75p,37.5p per 100g,
Cofresh Gujarati Mix,Cofresh Gujarati Mix200g,75p,37.5p per 100g,
Cofresh Hot & Spicy Corn Crackers ,Cofresh Hot & Spicy Corn Crackers 60g,75p,£1.25 per 100g,
Cofresh Hot Bombay Mix ,Cofresh Hot Bombay Mix 200g,75p,37.5p per 100g,
Cofresh Hot Chilli Potato Crinkles,Cofresh Hot Chilli Potato Crinkles80g,75p,93.8p per 100g,
Cofresh Hot Chilli Spirals,Cofresh Hot Chilli Spirals80g,75p,93.8p per 100g,
Cofresh Jalapeno Potato Grills,Cofresh Jalapeno Potato Grills80g,75p,93.8p per 100g,
Cofresh Jalfrezi Mix,Cofresh Jalfrezi Mix200g,75p,37.5p per 100g,
Cofresh Jeera Para Snacks,Cofresh Jeera Para Snacks300g,£1,33.3p per 100g,
Cofresh Karachi Crunch Mix ,Cofresh Karachi Crunch Mix 200g,75p,37.5p per 100g,
Cofresh Khatta Meetha Mix,Cofresh Khatta Meetha Mix200g,75p,37.5p per 100g,
Cofresh London Mix,Cofresh London Mix200g,75p,37.5p per 100g,
Cofresh Peri Peri Corn Crackers ,Cofresh Peri Peri Corn Crackers 60g,75p,£1.25 per 100g,
Cofresh Peri Peri Grills,Cofresh Peri Peri Grills80g,75p,93.8p per 100g,
Cofresh Pistachio Nuts,Cofresh Pistachio Nuts150g,£2,£1.33 per 100g,
Cofresh Salted Chakri Rice Sticks,Cofresh Salted Chakri Rice Sticks300g,£1.49,49.7p per 100g,
Cofresh Sev Mamra & Peanuts Mix ,Cofresh Sev Mamra & Peanuts Mix 200g,75p,37.5p per 100g,
Cofresh Sweet Chilli Grills,Cofresh Sweet Chilli Grills80g,75p,93.8p per 100g,
Cofresh Sweet Chilli Poppadum Curls ,Cofresh Sweet Chilli Poppadum Curls 80g,75p,93.8p per 100g,
